t_ms,V_mV,n,h,alpha,volL_L,PAO2_mmHg,PaO2_mmHg,gtonic_nS,SaO2_pct
0.00000000e+00,-5.68172000e+01,9.53440000e-04,7.45400000e-01,2.00260000e-04,2.05250000e+00,9.89638000e+01,9.77927000e+01,8.44554749e-02,9.64834242e+01
8.79654558e-03,-5.68194467e+01,9.53438634e-04,7.45400076e-01,2.00258307e-04,2.05249955e+00,9.89637794e+01,9.77926585e+01,8.44556355e-02,9.64834206e+01
9.67620013e-02,-5.68418616e+01,9.53027449e-04,7.45400843e-01,2.00241375e-04,2.05249505e+00,9.89635733e+01,9.77922432e+01,8.44572409e-02,9.64833846e+01
2.85732856e-01,-5.68896940e+01,9.50055234e-04,7.45402515e-01,2.00204995e-04,2.05248539e+00,9.89631306e+01,9.77913514e+01,8.44606892e-02,9.64833072e+01
4.74703710e-01,-5.69370883e+01,9.44893745e-04,7.45404220e-01,2.00168608e-04,2.05247573e+00,9.89626876e+01,9.77904599e+01,8.44641365e-02,9.64832299e+01
6.63674564e-01,-5.69840434e+01,9.38169572e-04,7.45405958e-01,2.00132214e-04,2.05246607e+00,9.89622445e+01,9.77895686e+01,8.44675828e-02,9.64831526e+01
8.96379064e-01,-5.70412604e+01,9.28421925e-04,7.45408143e-01,2.00087389e-04,2.05245417e+00,9.89616986e+01,9.77884715e+01,8.44718255e-02,9.64830574e+01
1.13312246e+00,-5.70987841e+01,9.17438800e-04,7.45410417e-01,2.00041777e-04,2.05244208e+00,9.89611430e+01,9.77873557e+01,8.44761403e-02,9.64829606e+01
1.36986586e+00,-5.71556143e+01,9.05831661e-04,7.45412740e-01,1.99996155e-04,2.05242998e+00,9.89605870e+01,9.77862403e+01,8.44804537e-02,9.64828638e+01
1.67439195e+00,-5.72276951e+01,8.90470355e-04,7.45415803e-01,1.99937459e-04,2.05241443e+00,9.89598716e+01,9.77848062e+01,8.44859999e-02,9.64827394e+01
1.99306373e+00,-5.73018938e+01,8.74289673e-04,7.45419094e-01,1.99876022e-04,2.05239816e+00,9.89591224e+01,9.77833063e+01,8.44918012e-02,9.64826093e+01
2.37965051e+00,-5.73902178e+01,8.54909566e-04,7.45423204e-01,1.99801474e-04,2.05237843e+00,9.89582130e+01,9.77814877e+01,8.44988352e-02,9.64824515e+01
2.79653736e+00,-5.74833948e+01,8.34601588e-04,7.45427777e-01,1.99721062e-04,2.05235717e+00,9.89572314e+01,9.77795278e+01,8.45064163e-02,9.64822814e+01
3.31510274e+00,-5.75963117e+01,8.10414447e-04,7.45433666e-01,1.99621012e-04,2.05233072e+00,9.89560094e+01,9.77770917e+01,8.45158400e-02,9.64820700e+01
